fov,fiber_pixel_density,fiber_density,fiber_major_axis_length,fiber_minor_axis_length,fiber_orientation,fiber_area,fiber_eccentricity,fiber_euler_number,fiber_alignment_score
TONIC_TMA13_R1C5,2.177429199,0.005459785,56.77532448,14.821798,0.112819921,398.8122271,0.938229508,0.991266376,1.944474437
TONIC_TMA16_R6C5,5.03282547,0.013256073,55.52339969,16.28065045,0.255065494,379.6618705,0.931866688,0.992805755,1.859676058
TONIC_TMA16_R6C6,1.699614525,0.004506111,50.12009814,14.65557612,0.130173202,377.1798942,0.937492326,1,1.982226476
TONIC_TMA16_R8C3,4.299736023,0.009822845,57.97574095,17.11142326,0.019033161,437.7281553,0.922147748,1,2.669751074
TONIC_TMA22_R10C6,3.014206886,0.006842613,58.81596851,15.57445348,0.253843319,440.5052265,0.940582974,0.993031359,2.409050297
TONIC_TMA22_R11C3,2.192759514,0.007152557,48.94332213,11.27240205,-0.105364284,306.57,0.952659005,1,2.127350774
TONIC_TMA4_R10C1,5.959510803,0.012660027,66.94461421,14.13051396,0.296610466,470.7344633,0.944511677,0.996233522,5.086835981
TONIC_TMA4_R10C4,5.218410492,0.015044212,53.53638592,11.83224528,0.462363825,346.8716323,0.949248686,0.998415214,3.006533465
TONIC_TMA4_R10C5,8.806729317,0.015854836,76.06708475,15.8081774,-0.227963618,555.4601504,0.951915894,0.990977444,4.534382796
TONIC_TMA4_R10C6,1.704454422,0.006580353,36.88573567,11.46467018,-0.163170615,259.0217391,0.900116971,0.992753623,2.485378083
TONIC_TMA4_R9C6,7.12890625,0.012230873,77.16112067,17.18923107,-0.404793425,582.8615984,0.953929782,0.984405458,3.700679578